id,text,aspect_term,aspect_category,polarity
141.0,this dish is my favorite and i always get it when i go there and never get tired of it.,dish,food,positive
,i think that it actually is absolutely brilliant company and with well runned entire business operation.,,anecdotes/miscellaneous,positive
91.0,i will be going back and heartily recommend it!,,anecdotes/miscellaneous,positive
1094.0,the food is amazing!!!!,food,food,positive
946.0,"we only ordered desserts and drinks, but no refills were offered.",drinks,service,negative
342.0,"the fish was adequate, but inexpertly sliced.",fish,food,conflict
,"and if you'all re looking for a private place to sit down down, have a drink with and conversations around with friends, we go to sweet - berry n - tart and order make yourself a hong - kong styled glass milk and tea with tapioca pearls ( hot ).",tea with tapioca pearls (hot),ambience,positive
3644.0,go here.,,anecdotes/miscellaneous,positive
,sometimes stuffing yourself with japanese cooking food regularly is a rare thing.,Japanese food,food,neutral
,highly item recommended to all!,,anecdotes/miscellaneous,positive
1123.0,"plus, when our entrees were held up in the kitchen on a busy saturday night, the owner sent over complimentary summer rolls to hold us over!",owner,service,positive
,"even after hearing recently a great lot of other great things about the restaurant, and often passing by of it on a daily basis, we have decided to try.",,anecdotes/miscellaneous,neutral
2546.0,"little tonino's is just awesome, our favorite delivery place in kennsington, honestly the best gnochi i have ever had!",Gnochi,food,positive
,"now if so you'n re u suddenly craving fish for you haru's great food, especially at the house roll, but how can't in time t we stand the wait waiting building outisde, go head down across across the main street next to their famous sake bar!",wait building,service,negative
92.0,i absolutely loved this place.,,anecdotes/miscellaneous,positive
,and the characters really certainly make for an enjoyable experience.,,ambience,positive
,this this place just isn't a value chain store joint.,,price,negative
,"is this sweet authentic food and even if they already have that real fast service, not like this just the fast rush like you get sometimes when they maybe they try to push right you playfully out the door.",service,service,positive
2704.0,maybe tomorrow ;-),,anecdotes/miscellaneous,neutral
,i would recommend this quiet place out to anyone and would have without a doubt come out again.,,anecdotes/miscellaneous,positive
,this place is doing pretty great.,,anecdotes/miscellaneous,positive
3133.0,in china the phrase for a good restaurant is hot and loud.,,anecdotes/miscellaneous,neutral
2785.0,the all-italian staff is warm and engaging from the start.,staff,service,positive
3272.0,"sake collection was excellent (try nanbu bijin), but pricy.",Nanbu Bijin,price,negative
,one of my three favorite strip restaurants in the neighborhood.,,anecdotes/miscellaneous,positive
233.0,service was good and food is wonderful.,food,service,positive
3537.0,"service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",teapot,service,negative
,oh... to what in america such a great hiding place.,,anecdotes/miscellaneous,positive
,i grew half up eating dosa and have still yet to find a natural place back in ny ny to satisfy only my taste buds.,Dosa,anecdotes/miscellaneous,neutral
295.0,everything that happened was not even up to mediocre.,,anecdotes/miscellaneous,negative
,food provision is excellent.,Food,food,positive
,"if never anything you don't love wine and creamy cheese and such delicious white french country fare, you'l ve so ll love the artisanal!",cheese,food,positive
1602.0,"service is great, takeout is good too.",takeout,service,positive
,"ok, for all of us now growing high up in quite the chinese village south of nyc, we have spoiled by owning a plethora of restaurants, yet most kind of which stay off open very late.",,anecdotes/miscellaneous,neutral
,"you ask for usha, who maybe any the nicest nice bartender up in continental manhattan.",bartender,service,positive
