id,text,aspect_term,aspect_category,polarity
3121,but the staff was so horrible to us.,staff,service,negative
2777,"to be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of teodora.",food,anecdotes/miscellaneous,negative
1634,"the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",menu,food,positive
2534,where gabriela personaly greets you and recommends you what to eat.,,service,positive
583,"for those that go once and don't enjoy it, all i can say is that they just don't get it.",,anecdotes/miscellaneous,positive
2846,"not only was the food outstanding, but the little 'perks' were great.",perks,service,positive
1571,it is very overpriced and not very tasty.,,price,negative
1458,our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,service,positive
3161,"the bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Bagels,food,positive
2391,nevertheless the food itself is pretty good.,food,food,positive
986,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.",songs,ambience,neutral
296,"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",omelet,food,negative
1793,"it took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,service,conflict
2200,the design and atmosphere is just as good.,atmosphere,ambience,positive
3195,he has visited thailand and is quite expert on the cuisine.,cuisine,food,positive
3119,i would definitely recommend mary's and am making it one of my regular neighborhood haunts.,,anecdotes/miscellaneous,positive
3359,the pizza is the best if you like thin crusted pizza.,thin crusted pizza,food,positive
70,my girlfriend and i stumbled onto this hopping place the other night and had a great time!,,anecdotes/miscellaneous,positive
1829,"he can't help, they're bought up so fast.",,anecdotes/miscellaneous,neutral
2935,"secondly, on this night the place was overwhelmed by upper east side ladies perfume.",,ambience,negative
1805,"i have eaten here a handful of times, for no reason besides sheer convenience.",,anecdotes/miscellaneous,neutral
2559,obviously run by folks who know a pie.,,service,positive
716,we were very disappointed.,,anecdotes/miscellaneous,negative
2464,it is definitely special and affordable.,,price,positive
385,i really liked this place.,,anecdotes/miscellaneous,positive
1350,i will be going back very soon.,,anecdotes/miscellaneous,positive
3534,"all the money went into the interior decoration, none of it went to the chefs.",chefs,food,negative
1407,the seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,ambience,negative
565,"i asked for seltzer with lime, no ice.",seltzer with lime,food,neutral
387,it was pretty inexpensive too.,,price,positive
1314,will not be back.,,anecdotes/miscellaneous,negative
675,"don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods,food,positive
2227,my suggestion is to eat family style because you'll want to try the other dishes.,eat family style,food,neutral
3367,"best of all is the warm vibe, the owner is super friendly and service is fast.",service,ambience,positive
1210,this isn't a value joint.,,price,negative
2191,faan's got a great concept but a little rough on the delivery.,delivery,service,negative
270,"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,ambience,positive
638,"great food at reasonable prices, makes for an evening that can't be beat!",prices,price,positive
500,look foward to trying the ruben upon returning.,,anecdotes/miscellaneous,positive
1108,the only other steakhouse that seems to hold a candle to roth's is the strip house.,,anecdotes/miscellaneous,neutral
3294,we usually go to the chart house to celebrate a birthday or anniversary.,,anecdotes/miscellaneous,neutral
388,this little place has a cute interior decor and affordable city prices.,prices,price,positive
3070,you'll adore it.,,anecdotes/miscellaneous,positive
3373,two words: free wine.,wine,price,positive
425,the price is reasonable although the service is poor.,service,price,positive
3192,"the quantity is also very good, you will come out satisfied.",quantity,food,positive
1098,i have been to roth's twice and both times were very disappointing.,,anecdotes/miscellaneous,negative
2173,worth visiting the 1st ave spot because it is the original store.,,anecdotes/miscellaneous,positive
391,"i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi bar,anecdotes/miscellaneous,neutral
263,"raga's is a romantic, cozy restaurant.",,ambience,positive
2384,the fried rice is amazing here.,fried rice,food,positive
